Arquivos importados,Tempo acumulado MySQL,Tempo acumulado MongoDB
538000,5716.985213999998,905.4226800000006
539000,5738.425883999998,907.3741390000006
540000,5770.928501999999,909.2690690000006
541000,5793.994274999999,911.0919150000007
542000,5814.957351999999,912.8962540000007
543000,5828.436097999999,914.6433590000007
544000,5848.980857,916.4096270000007
545000,5866.663143,918.1405600000007
546000,5897.331569,919.9995990000008
547000,5912.029077,921.7436280000007
548000,5927.8701040000005,923.4747640000007
549000,5943.9510390000005,925.6809720000007
550000,5960.110689,927.4043570000007
551000,5973.625949,929.0829250000007
552000,5995.416194,930.8668440000007
553000,6009.596676,932.5868000000007
554000,6025.702196,934.3001210000007
555000,6045.823462,936.0337370000007
556000,6072.46751,937.9377750000007
557000,6092.4291570000005,939.7430560000007
558000,6106.072999000001,941.4926290000008
559000,6131.506525000001,943.4200370000008
560000,6207.4083040000005,945.3108950000008
561000,6237.190974,947.1038090000008
562000,6262.681426,948.8437650000008
563000,6279.823895,950.5448750000007
564000,6292.383746,952.2295340000007
565000,6309.942004,953.9337440000007
566000,6336.782099,955.7718740000007
567000,6353.307732,957.4755470000007
568000,6368.4366,959.1693540000007
569000,6387.848633,960.9170380000007
570000,6403.717159,962.6125770000008
571000,6420.43517,964.3122880000008
572000,6468.447225,966.1490160000008
573000,6485.922388,967.8755890000008
574000,6505.753179,969.6703590000008
575000,6526.858663,971.4976980000008
576000,6545.920975,973.2748280000008
577000,6558.630656,974.9452750000007
578000,6574.3081,976.8155540000007
579000,6584.632778,978.4791170000007
580000,6606.716171,980.2371780000007
581000,6633.316537,982.0528140000007
582000,6649.443651,983.7937800000007
583000,6663.707477999999,985.4985770000006
584000,6678.1832509999995,987.2279710000006
585000,6696.804042999999,988.9677980000006
586000,6716.807489999999,990.7556360000005
587000,6732.5731989999995,992.5292500000005
588000,6752.519111999999,994.3861330000005
589000,6773.640527999999,996.1620280000005
590000,6789.187984999999,997.8838600000005
591000,6805.001510999999,999.6319410000004
592000,6820.546001999998,1001.4235670000004
593000,6831.964428999998,1003.1089510000004
594000,6845.1793039999975,1004.8521790000004
595000,6861.132141999998,1006.5759760000004
596000,6878.973439999998,1008.3083060000005
597000,6889.725136999998,1009.9833730000005
598000,6906.446157999998,1011.7770770000005
599000,6919.621767999998,1013.4716440000005
600000,6934.920309999998,1015.2125130000005
601000,6946.834605999998,1016.9601550000006
602000,6960.145590999998,1018.6294740000005
603000,6979.147897999997,1020.3839620000006
604000,6997.5574579999975,1022.1303000000006
605000,7009.586935999998,1023.8143420000006
606000,7021.1668679999975,1025.4828470000007
607000,7030.526913999997,1027.1399320000007
608000,7049.882654999998,1028.9346920000007
609000,7061.422127999997,1030.6439570000007
610000,7082.196295999997,1032.4127200000007
611000,7097.586677999997,1034.1186170000008
612000,7112.341307999997,1035.8579600000007
613000,7125.630419999998,1037.5427290000007
614000,7139.804062999998,1039.2658570000008
615000,7150.972323999998,1040.9234660000009
616000,7166.890949999997,1042.657692000001
617000,7182.816184999997,1044.384951000001
618000,7196.819957999997,1046.0967010000008
619000,7208.467680999997,1047.7859510000008
620000,7227.980458999998,1049.6605380000008
621000,7249.617734999998,1051.4998920000007
622000,7267.953631999998,1053.3741470000007
623000,7287.308303999998,1055.2295430000006
624000,7296.451820999999,1056.9831750000005
625000,7306.537500999999,1058.7601260000006
626000,7321.266301999999,1060.5921240000007
627000,7343.616525999999,1062.4557870000008
628000,7353.041521999999,1064.2275680000007
629000,7364.941910999999,1066.0154770000006
630000,7379.447967999999,1067.8592940000005
631000,7392.432563999999,1069.7056590000007
632000,7406.321093999999,1071.8155880000006
633000,7415.389179999999,1073.5784510000005
634000,7421.828578,1075.2888370000005
635000,7430.098526,1077.0289350000005
636000,7440.143838999999,1078.7823260000005
637000,7454.320193,1080.6114160000004
638000,7464.4403839999995,1082.3748420000004
639000,7472.060536,1084.1523090000003
640000,7481.056894,1085.9374450000003
641000,7490.925740000001,1087.7198670000002
642000,7502.435835,1089.5244710000002
643000,7522.065029,1091.3918690000003
644000,7529.5490500000005,1093.2239300000003
645000,7538.952575,1094.9996530000003
646000,7546.175373,1096.7406150000004
647000,7553.280865,1098.4821480000003
648000,7562.024071,1100.3169080000002
